Technical_terms,Literal meaning,pidgin meaning
illustrate,clarify by giving an example of,Di example wey dey clarify by giving example of di example wey dey clarify by giving an example of
illustrated,shown,dey draw
illustration,artwork that helps make something clear or attractive,Di artwork wey help make something clear or attractive
illustration,A picture or drawing that explains or decorates something.,"Picture wey de show wetin somtin mean, or e de make somtin fine."
illustrative,clarifying by use of examples,E dey clarifying by use of examples of examples
image,A representation of the external form of a person or thing in art.,Picture / how tin look
image files,digital picture files,files for pictures
image writing capabilities,the ability to create picture files,di power to write pictures
imagery,visual images or descriptions,Imagery na pictures wey eye fit see
imagination,the formation of a mental image of something that is not perceived as real and is not present to the senses,Di formation of mental image of something wey no dey perceived as real and no present to di senses
imagination,The ability to create ideas or images in your mind.,Make person fit create tins for ein mind.
imaginative experiences,creative activities,tins wey dey use imagination
imaginative expression,creative communication,using imagination
imagine,Form a mental image or concept of.,To reason am for head / tink say
imbalanced,being or thrown out of equilibrium,For equilibrium wey dey being or throw out of equilibrium
IMF,International Monetary Fund — provides loans to countries in economic crisis,An international organisation wey give loans to countries experiencing financial problems
imitate,To copy the actions or behavior of someone else.,To do wetin anoda person de do.
immateriality,lack of physical form,Immateriality na say sometin no get shape
immediacy,"the state or quality of being immediate, happening or done without delay, or the state of being close in time or space","to dey happen sharp sharp, no dey delay, or to dey near like dat, no dey far"
immediate,Occurring or done at once; instant.,Now-now / sharp-sharp
immediately,without delay or hesitation; with no time intervening,"For no time intervening, without delay or hesitation; wit no time intervening; wit no time intervening"
immediately,At once; instantly.,Sharp-sharp / now-now / instantly
immigrant,A person who comes to live permanently in a foreign country,Person wey leave their country to go live permanently for another country
immigrant,A person who moves to live permanently in a new country.,Person wey comot go anoda country final final.
immigrant community,A group of immigrants living in the same area who maintain shared cultural ties,A group of immigrants living together in the same area and sharing cultural connections
immigrant paradox,The finding that immigrants often have better health outcomes than expected despite socioeconomic disadvantage,Di surprising finding that immigrants often dey healthier than expected despite facing poverty and hardship
immigration,migration into a place (especially migration to a country of which you are not a native in order to settle there),Di migration into place (especially migration to a kontri of which you no dey native for order to settle there)
immigration,The act of coming to live permanently in a foreign country,Di act of person coming to live permanently in another country wey no be their own
immigration attorney,A lawyer who specialises in immigration law,A lawyer wey specialise in immigration law and help people with their immigration cases
immigration judge,A government official who decides immigration cases and removal proceedings,Government official wey dey court to decide immigration cases
immigration reform,Changes to laws and policies governing immigration,Changes made to immigration laws to improve or update how they work
immigration status,A person's legal classification regarding their right to be in a country,Person's legal classification — whether dem have permission to be in a country and under what conditions
immune,Protected from a disease or not affected by something.,"Odeshi for sickness, or somtin."
immunisation,the act of making immune (especially by inoculation),Di act of making immune (especially by inoculation)
immunity,"Protection or exemption from something, especially an obligation or penalty.",Pawa to no follow rule
immunodeficiency,immunological disorder in which some part of the body's immune system is inadequate and resistance to infectious diseases is reduced,Di immunological disorder wey some part of di bodi immune system dey inadequate and resistance to infectious diseases dey reduced and resistance to infectious diseases dey reduced
impact,A strong effect or influence that something has.,Di tin wey somtin de cause.
impact,The action of one object coming forcibly into contact with another; a marked effect or influence.,Wetin happen afta action / strong effect
impartial,"unbiased, treating all parties fairly and equally, without prejudice or favoritism","no bi say dem dey take side, dem dey try treat everybody equal, no bi say dem get mind for one person pass anoda"
Impartiality,"The state of being unbiased, neutral, or having no prejudice, especially in making judgments or decisions","To dey neutral, no bi one side, no get shakara, sabi judge matter well-well, no dey take side"
impeach,To formally charge a public official with misconduct in office.,To talk for law say person for public office do somtin wey bad.
impeachment,a formal document charging a public official with misconduct in office,Di formal document wey dey charging public official wit misconduct for office
impenetrable,impossible to understand or enter mentally,Impenetrable na something wey dey hard to enter
imperative,necessary or essential requirement,Imperative mean say di thing dey important.
imperative,absolutely necessary,Imperative na for someting wey dey necessary
imperative,a mood that expresses an intention to influence the listener's behavior,Di mood wey express an intention to influence di listener's behavior
imperceptibly,in an imperceptible manner or to an imperceptible degree,Di imperceptible manner or to an imperceptible degree or to an imperceptible degree or to an imperceptible degree or to an imperceptible degree
imperfection,the state or an instance of being imperfect,Di state or an instance of being imperfect or instance of being imperfect
imperfectly,in an imperfect or faulty way,Di imperfect or faulty way for imperfect or faulty way for imperfect or faulty way for imperfect or faulty way for imperfect or faulty way
imperialism,control of one country over another,Imperialism na di control of one country ova anoda
impermeable,preventing especially liquids to pass or diffuse through,E dey prevent especially liquids to pass or diffuse through through diffuse through
impermissible,Too bad to be allowed.,Dem no gree / no follow
impersonal,not relating to or responsive to individual persons,Di person no dey relating to or responsive to individual persons
impersonation,a representation of a person that is exaggerated for comic effect,Di representation of a person wey dey exaggerated for comic effect
implausible,Difficult to believe or unlikely to be true.,Somtin wey no de easy to believe.
Implement,"To put a plan or system into action or operation, making it a reality by taking concrete steps or measures","Make am real, put plan or system for work, no be just talk, dem go take action, do wetin dem suppose do"
implementation,"the act of putting a plan or system into operation, or the fact of something being put into operation","how dem go take carry out plan or system, or wetin happen when dem don dey operate am"
Implementation,"The process of putting a plan or system into action, making it a reality, and ensuring it works as intended","E dey mean say dem go put plan wey dem don create for ground, make am become real, and dem go make sure say e dey work as dem plan am, no be small tin, na full action dem go take"
implementation,the act of accomplishing some aim or executing some order,Di act of accomplishing some aim or executing some order or executing some order
implemented,apply in a manner consistent with its purpose or design,Di apply for manner wey consistent wit its purpose or design.
implication,something suggested but not directly said.,Implication na somethin wey you suggest but no talk directly.
implication,"a logical operation that connects two statements, where the first statement implies the second","tori wey show say if one thing happen, another thing go follow, like if p dey, den q go dey, e mean say p imply q, or p dey point to q"
implication,something that is inferred (deduced or entailed or implied),Di something wey dey inferred (deduce or entailed or implied)
implication,A likely consequence or something that is suggested but not stated.,Somtin wey fit sup or somtin wey demsuggest wey dem no talk.
Implications,possible effects or meanings of something,wetin something fit cause or mean
implicative,tending to suggest or imply,Di tendency to suggest or imply or imply
implicit,Something suggested or understood without being directly stated.,Somtin wey pipu sabi or understand but person no talk am to dem.
implicit bias,Unconscious attitudes or stereotypes that affect decisions and actions without awareness,Attitudes and stereotypes wey person hold unconsciously — they no even know say dem get dem
implicit memory,"a type of long-term memory that is not consciously recalled, but affects thoughts, feelings, and behaviors","memori wey no dey show face, but e dey control wetin you think, feel, and do, even if you no sabi say e dey work"
implicit memory,"a type of long-term memory that is not consciously recalled, but affects thoughts, feelings, and actions","memori wey no dey show face, but e dey affect wetin you think, feel, and do"
implicit method,numerical method where the unknown appears on both sides of the equation, calculation method where the answer dey on both sides of the equation
implicitly,without doubting or questioning,But without doubting or questioning or questioning
implied,"Not explicitly stated but understood or made known through action, conduct, or circumstance rather than direct words.",no dey state clear clear but persin sabi by action or situation
implied,Suggested but not directly stated.,Wetin dem no talk but person suppose know
implies,Strongly suggests the truth or existence of (something not expressly stated).,Meaning say / suggest
import a .mat file,to bring in MATLAB data,to bring .mat file
import substitution,A strategy to replace imported goods with domestically produced alternatives,A strategy where a country try to make things locally instead of importing them from abroad
importance,the quality of being important and worthy of note,Di quality of being important and worthy of note
importance,The state or fact of being of great significance or value.,Value / something wey get weight
important,"Having great value, significance, or influence.",To get value abi worth.
important,Of great significance or value.,Something wey get weight / e very necessary
importantly,in an important way or to an important degree,Di important way or to an important degree or to an important degree
importation,the commercial activity of buying and bringing in goods from a foreign country,Di commercial activity of buying and bring in goods from foreign kontri
importer,A person or business that brings goods into a country from abroad.,na persin or business wey bring goods inside country from outside
impose,Force (something unwelcome or unfamiliar) to be accepted or put in place.,To force law or fine for person head
imposed,Forced (something unwelcome) to be accepted or put in place.,Bin force am for ground / bin set de fine
imposes,Forces (something unwelcome or unfamiliar) to be accepted or put in place.,To force rule or task for person head
imposing,Grand and impressive in appearance.,To force tin on person / looking big
imposition,the act of imposing something (as a tax or an embargo),Di act of imposing something (as tax or embargo) di act of imposing something (as tax or embargo)
imposition,Forcing something on others without their agreement.,To pressure person to do somtin.
imposition,The action or process of imposing something or of being imposed.,Force tin on person
impossibility,A legal doctrine that excuses performance of a contract when it becomes physically or legally impossible to perform.,na legal doctrine wey excuse persin from do contract wen am become physically or legal impossible to do am
impossibility,incapability of existing or occurring,Di incapability of existing or occurring or occurring
impossibility,The state or fact of being impossible.,Wetin no fit happen
impossible,cannot happen,no fit happen
impossible,something that cannot be done,"But something wey no fit be done, something wey no fit be done"
impossible,Not able to be done or made to happen.,Somtin wey no fit sup or happen.
impossible,"Not able to occur, exist, or be done.",E no fit happen / no way kpatakpata
impoverish,make poor,For poor pipo make poor pipo make poor pipo make poor pipo make poor pipo make poor pipo make poor pipo make poor
impracticability,A legal doctrine that excuses performance of a contract when performance becomes extremely difficult or expensive due to unforeseen circumstances.,na legal doctrine wey excuse persin from do contract wen am become too hard or expensive to do due to unforeseen tings
impracticable,not capable of being carried out or put into practice,E no capable of being carried out or put into practice
impractical,Not realistic or sensible to put into practice.,Somtin wey no fit work.
impression,a vague idea in which some confidence is placed,"Di vague idea wey some confidence dey place, and some confidence dey place"
impressionist,a painter who follows the theories of Impressionism,Di painter wey follow di diories of Impressionismism
impressive,"Causing admiration due to quality, size, or skill.","To de muzz pipu becos of ein size, quality or how e take sabi."
imprisonment,The act of confining a person in jail or prison as punishment for a crime or by court order.,na wen dem lock persin for jail or prison as punishment for crime
imprisonment,Being locked in prison as punishment for a crime.,To put person for jail becos of wetin e do.
imprisonment,The state of being imprisoned; captivity.,To lock person for jail
improper,Not in accordance with accepted standards or rules.,Something wey no good / e no follow style
improperly,in an improper way,Di improper way wey dey improper for di improper way
improvement,the gain,improvement
improvement,A change that makes something better than before.,To change somtin make e beta.
impulse,A sudden desire to act without thinking it through.,Make person wan do somtin fast when e neva think am.
impurity,A substance that makes something unclean or less pure.,Somtin wey de make anoda tin no pure again.
in a different way,using another method,for different way
in a fair amount of detail,with considerable thoroughness,for plenty small tins
in addition to,besides,for addition to
in an introductory behavioural stats class,in a beginner psychology statistics course,for one first stats class for behaviour
in contrast,by comparison,for opposite
in drawing on,by using,for using
in each case,for every situation,for each one
in each category,for each group,for each group
in fact,actually,for true
in general,typically,for general
"in green, g. camilli, & p. elmore (eds.)",in a book edited by these people,for one book wey Green and others edit
in h. saltzstein (ed.),in a book edited by Saltzstein,for one book wey Saltzstein edit
in its own right,by itself,for im own
in light of,considering,based on
in long form,in the tall format,for long form
in many situations,in numerous cases,for plenty cases
in more detail,with more explanation,with more small tins
in my opinion,as I see it,for my mind
in order for,for the purpose of,before
in order for this approach to work,for this method to succeed,for dis way to work
in order to calculate our pooled variance estimate,to compute the combined spread,so dat we fit calculate our mixed variance guess
in order to help make it clear,to make it obvious,to help make e clear
in order to improve,to make better,to make good
in order to run these different tests,to perform these various checks,to do dese different tests
in other words,to rephrase,for oda words
in other words,to rephrase,for other words
in our case,for our situation,for our case
in our example,for our case,for our example
in particular,especially,especially
in practical terms,in real‑world meaning,for real life
in practice,in reality,for real life
in practice,in actual use,for real life
in real data,in actual information,for real numbers
in relation to,compared to,based on where you dey
in searching for,in looking for,for searching for
in short,briefly,for short
in terms of,expressed as,using
in that case,under that condition,for dat case
in the context of,within the setting of,for di case of
in the days where people did all their statistics by hand,when people calculated manually,for di time when pipo dey do all di numbers with paper
in the end,finally,for di end
in the journals,within those writings,for di journals
in the night garden,a children's show,one name of show
"in the one‑sample t‑test, it was","for that test, it was","for di one sample t test, e be"
in the same vein,similarly,for di same way
in the study of teaching,in the investigation of instruction,for di study of teaching
in the world of educational research,within that field,for di area of education study
in this case,in this situation,for dis one
"in this case, narrative or story‑like writing","here, storytelling","for dis case, story writing"
"in this case, the one sample mean x̄","here, the single average","for dis case, di one sample average"
in this instance,for this case,for dis example
in this particular case,for this specific example,for dis one
in this particular case,for this specific instance,for dis one wey dey special
in this regard,in this aspect,for dis way
in those cases,for those situations,for dem ones
in truth,honestly,for true
in tune,"having the correct pitch or frequency, sounding harmonious and pleasant to the ear","de sound dey sabi, e dey sweet well well, no be sound wey dey pain ear"
in two conditions,in two situations,for two different ways
in your class,in your classroom,for your class
in-person interview,"a face-to-face conversation between two or more people, typically for the purpose of gathering information or conducting research","face-to-face tori, wey be say two or more person dey siddon together, dey yarn, either to gather tori or to do research"
inaccessible,capable of being reached only with great difficulty or not at all,Di capable of being reach only wit great difficulty or no for all all
inaccessible,Difficult or impossible to reach or use.,Somtin wey person no fit reach well.
inaccurate,"not accurate or correct, containing errors or mistakes","no be truth, get mistake or error, no be correct, dey carry wrong tori"
inaccurate,not exact,We no dey exact
inaccurate,Not correct or containing errors and mistakes.,Somtin wey no de correct or complete.
inadequate,lacking the requisite qualities or resources to meet a task,Di requisite qualities or resources to meet task
inadequate,Not enough or not good enough for a purpose.,Somtin wey no good reach for somtin wey dey wan use am for.
inadequate,Lacking the quality or quantity required.,No reach / e small pass wetin dem need
inadmissible,Not qualifying to legally enter or remain in a country under immigration law,Person wey no qualify to enter or stay in a country according to immigration law
inadvertently,"by accident, not intentionally",Inadvertently na something wey person no plan wey happen
inalienable rights,Rights that cannot be taken away from a person,Rights wey nobody fit take from you — dem belong to you by nature of being human
inapplicable,not capable of being applied,E no dey capable of being applied
inappropriate,not suitable for a particular occasion etc,Na no suitable for particular occasion etc etc
inaugural,"marking the beginning of an institution, activity, or period of time, especially a formal or official opening","wey be de first time, or wey be de beginning, like wen dem dey start sometin new"
incarcerated,"lock up or confine, in or as in a jail","As in a jail, wey dey lock up or confine, for or as in a jail"
incentive,"a thing that motivates or encourages someone to do something, especially by offering a reward or advantage","somtin wey go make person wan do somtin, especialy if dem promise dem better tin or beta condition"
incentive,Something that motivates or encourages someone to act.,somtin wey de ginger person or pipu to do somtin.
incentives,a positive motivational influence,Di positive motivational influence influence a positive motivational influence influence
incidence graphs,multiple diagrams representing directional relationships between interacting system components, plenty diagrams wey show how parts of a system dey relate and affect each other
incidental,Damages or expenses related to but secondary to the primary loss in a legal claim.,na damages or expenses wey relate to but secondary to di main loss for legal claim
incidentally,by the way,by di way
incidentally,introducing a different topic; in point of fact,"For point of fact, wey dey point of fact; for point of fact"
inclination,tendency or natural preference,Inclination na wetin person like
inclination,an attitude of mind especially one that favors one alternative over others,Di attitude of mind especially one wey dey favor one alternative over odas
include,Comprise or contain as part of a whole.,Join am / put am follow
include outliers,to keep extreme values,to put di numbers wey dey far
included,Comprising or containing as part of a whole.,Dem join am / e dey inside
includes,Comprise or contain as part of a whole.,E carry am follow / join body
inclusion,Creating environments where everyone is welcomed and can participate fully,"Making sure every person feel welcome, included and valued — nobody dey left out"
inclusion,The action or state of including or being included within a group or structure.,Follow join / include
inclusions,the state of being included,Di state of being included for di state of being included
inclusive,including all people or groups,Inclusive na wetin involve every persin and group
inclusivity,The practice or policy of providing equal access to opportunities and resources for people who might otherwise be excluded or marginalized.,Carry everybody follow join
incognito,private browsing mode that does not save history, browsing mode wey no dey keep your history
incoherent,"lacking coherence, impossible to understand because of being unclear or confusing","tori wey no get head or tail, yarn wey no make sense, as e be say e no get meaning"
income,Money received regularly from work or investments.,Moni wey person de always collect for work or investment wey e do.
income,"Money received, especially on a regular basis, for work or through investments.",Money wey person dey make / salary
income inequality,The unequal distribution of income among individuals or groups,When income is distributed very unfairly — some people have too much while others have too little
incommensurable,impossible to measure or compare,Incommensurable na for something wey you no fit put side by side.
incompatible,Unable to work together or exist without conflict.,When tins or pipu no fit work togeda becos dem de always fight.
incompetent,someone who is not competent to take effective action,Dem no competent to take effective action
incomplete,not complete or total; not completed,But no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total; no complete or total
incompressible,incapable of being compressed; resisting compression,For compression; resist compression compression
incongruous,not matching or appearing out of place,Incongruous mean say di thing no follow or suppose dey dere.
inconsistencies,the relation between propositions that cannot both be true at the same time,Di relation between propositions wey no dey true for di same time
inconsistent,displaying a lack of consistency,E dey show lack of consistency
inconsistent,Not staying the same throughout.,E dey change-change / e no follow de rule
inconvertible,used especially of currencies; incapable of being exchanged for or replaced by another currency of equal value,E dey use especially of currencies; incapable of being exchange for or replace by one currency of equal value.
incorporate,make into a whole or make part of a whole,Di whole or make part of a whole or make part of a whole or make part of a whole
incorporate,Take in or contain (something) as part of a whole; include.,Join together / include
incorporated,(Of a company or other organization) formed into a legal corporation.,Company wey don register finish / join body
incorporation,"The process of constituting a company, city, or other organization as a legal corporation.",How dem take register company for law
increase,"Become or make greater in size, amount, intensity, or degree.",To add join / e don big pass before
increase the value month by 1,to add one to the month counter,to make month number go up by 1
increased,"Made greater in size, amount, or degree.",E don big pass before / e climb
increasing,"becoming greater or more in amount, degree, or intensity","dey increase, mean say im dey go up, dey add, or e dey become more, pass before"
increasing,become bigger or greater in amount,Bigger or greater for amount of amount
increasing,"Becoming greater in size, amount, or degree.",E dey add / grow
increasing eort,trying harder,to do more
increasingly,advancing in amount or intensity,E dey advancing for amount or intensity
increasingly common,more frequent,e dey happen more
incremental,increasing gradually by regular degrees or additions,Di increase gradually by regular degree or additions or additions
incrementally,"doing something step by step, making small changes or improvements at a time, in a gradual and continuous manner","dey take small small step, dey improve am, no be once, na gradual gradual, like person wey dey climb stair, step by step"
increments,a process of becoming larger or longer or more numerous or more important,Di process of becoming small or longer or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or more important or
incumbent,person currently holding a position,Incumbent na di person wey dey in power for dat time
incumbent,The holder of an office or post.,person-wey-dey-office-now / current-oga
incurred,Became subject to (something unwelcome or unpleasant) as a result of one's own behavior or actions.,Money or wahala wey person carry for im head by imself
indebtedness,an obligation to pay money to another party,Di obligation to pay money to another party
indecent,Offensive to accepted standards of morality or behavior.,Somtin wey no de acceptable as per morals or behaviour.
indeed,Used to emphasize a statement or response confirming something already suggested.,True-true / na so / for real
indefatigable,showing sustained enthusiastic action with unflagging vitality,Enthusiastic action wit unflagging vitality wit unflagging vitality wit unflagging vitality
indefinite,vague or not clearly defined or stated,Nague or no clearly defined or stated
indefinite detention,Holding someone in custody for an unlimited period without charge or trial,Keeping person locked up for unlimited time without giving dem a court trial
indefinite integral,"a function whose derivative is equal to a given function, also known as an antiderivative","fonksiyon wey im derivative dey equal to anoda given fonksiyon, dem dey call am antiderivative"
indefinitely,to an indefinite extent; for an indefinite time,For an indefinite extent; for an indefinite time; for an indefinite time; for an indefinite time; for an indefinite time; for an indefinite time; for an indefinite time
indemnification,legal protection from loss or liability,Indemnification na how di law dey protect person make he no lose.
indemnification,Legal protection from loss or damage; compensation for harm suffered,When one person or organisation agree to cover another person's losses or legal costs
indemnification,"Protection or compensation for loss, damage, or legal liability.",Protection or moni wey person collect becos of somtin wey spoil.
indemnify,To compensate someone for loss or to agree to protect them from legal liability or damage.,fo give persin money back for loss or protect dem from legal trouble
indemnity,An agreement where one party compensates another for loss or protects them from legal liability.,na agreement wey one side give di oda side money for loss or protect dem from legal trouble
indemnity,Security or protection against a loss or other financial burden.,cover-for-loss
indentation,a concave cut into a surface or edge (as in a coastline),Di concave cut into surface or edge (as for coastline)
indentedevenly,"having the same indentation or being aligned at the same level, typically in a programming context, such as in lines of code","dey align wella, dem no dey shift, for coding matter, dem dey for same line, no be say one dey before or after"
indentured servant,A person who works under contract for a set period in exchange for passage or other benefits,Person wey agree to work for a master for fixed number of years in exchange for passage or other benefit
independence,"the state of being free from the control or influence of others, able to make decisions and act without external constraint","to dey on your own, no dey under person control, you fit take decision and do wetin you want without person interfere"
independence,"the state of being free from the control or influence of others, able to make decisions and act without external restriction","to dey on your own, no dey under person control, you fit take your decision, do wetin you wan do without person interfere"
independence,freedom from control or influence of another or others,Di freedom from control or influence of another or odas or odas
independence,The fact or state of being independent.,Standing on your own / freedom
independent,a neutral or uncommitted person (especially in politics),Di neutral or uncommitted person (especially for politics)
independent,Free from outside control; not depending on another's authority.,Person wey stand on im own / no boss
Independent journalism,"The practice of reporting news and information without being controlled or influenced by outside forces, allowing for objective and unbiased coverage of events","Journalism wey dey free, wey no dey under anybody control, wey dey allow person report tori as e be, without fear or favor, sabi wetin dey happen and yarn am as e take happen"
independent news outlet,"a news organization that operates freely without control or influence from the government or other external forces, and is often self-funded or funded through independent means","news organizeshun wey dey operate freely, no dey under govment or anoder pipo control, dem dey fund demself or dem get anoder way dem dey take fund dem operation"
independent variable,the variable that is manipulated,wetin dey explain
independently,The ability of something to function or exist without being controlled or influenced by something else,"To dey do somethin on its own, no dey depend on anoda thing, e fit wok solo or wok wit odas, but e go still dey do im own tin"
independently,on your own; without outside help,We no dey outside help
indestructible,not easily destroyed,Easily destroyed
index,"a statistical measure or indicator that represents a set of data or a complex concept, often used to track, evaluate, or compare performance, risk, or progress","one kind of numba wey dem dey use take measure sometin, e fit show how tin dey go, or how risk dey, or how progress dey, like say be barometer wey dey check how country or company dey do"
index,"a numerical or label-based system used to identify and organize data, especially in a table or series, where each entry is assigned a unique identifier","index na him be like pointer wey dey show pandas which column dem suppose take as reference for dem series, make dem no lose track"
index,a system used to organize or arrange information,di tin wey you take arrange information in order
index column,"a column in a database or table that serves as a reference point for quickly locating and accessing specific data, often assigned a unique identifier for each row","kolom wey dey serve as pointer give us, make we fit quickly find and access partiula data wey we need, e get unique identifika for each row"
indian,A person from India or relating to India's culture.,Person or somtin wey de related to India.
indic,Relating to the Indo-Aryan branch of Indo-European languages.,show / point-hand
indicate,to show or point to,to show
indicate,Point out; show.,To show / point to
indicated,shown or suggested,wey dem show
indicated,Pointed out; showed.,Bin show face / dem don point am out
indicates,shows or specifies,dey show
indicates,Points out; shows.,E dey show / e point to de mata
indicating,be a signal for or a symptom of,Di signal wey be signal for or symptom of symptom of
indication,something that serves to indicate or suggest,Di something wey dey serve to indicate or suggest something wey dey serve to indicate or suggest.
indicator,"a device or system that shows the condition or status of something, especially one that warns of a problem or danger","somtin wey dey show us wetin dey happen or wetin go wrong, like alarm wey dey warn us of danger"
indicators,a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time,Di number or ratio (a value for scale of measurement) wey dey derived from series of observed facts; don reveal relative change as a function of time
indictment,A formal written accusation issued by a grand jury charging a person with a crime.,na formal written accusation wey grand jury issue go charge persin wit crime
indifference,unbiased impartial unconcern,Di impartial unconcern unbiased impartial unconcern
indifferent,marked by a lack of interest,E dey marked by lack of interest
indigene,A person who is originally from a particular place.,Person wey com from particular place.
indiscipline,the trait of lacking discipline,Di trait of lacking discipline
indiscriminate,failing to make or recognize distinctions,Di failing to make or recognize distinctions
indispensable,absolutely necessary or required,Indispensable mean say person no fit avoid am.
indispensable,not to be dispensed with; essential,E no dey dispense wit; essential
indistinguishable,exactly alike; incapable of being perceived as different,Dis incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different; incapable of being perceived as different
individual,a human being,Di human being a human being
individual,A single person considered separately from a group.,One person from group of pipu.
individual,Single; separate.,One single person / one-one
individualism,A social value prioritising individual rights and personal freedom over the group,Di belief wey value each person's own rights and freedoms above the group
individualist culture,"A culture that prioritises personal independence, freedom, and self-reliance",A culture wey value individual freedom and personal achievement over the group
individuality,the quality of being individual,Di quality of being individual
individually,apart from others,Dem apart from odas wey dey apart from odas
individuals,Single human beings as distinct from a group.,One-one person / individual people
indivisibility,The principle that all human rights are equally important and cannot be separated,Di principle wey say all human rights dey equal and dem no fit separate dem from each other
indorsed,The act of signing on the back of a negotiable instrument to transfer ownership or show acceptance of its terms.,"na wen persin sign back of paper wey people fit trade, to transfer ownership or show say dem accept di terms"
indorsement,A signature or written notation on the back of a negotiable instrument that transfers rights or guarantees payment.,na signature wey dey back of document wey transfer right or guarantee say dem go pay
indorser,A person who signs the back of a negotiable instrument to transfer it to another person or guarantee its payment.,na persin wey sign back of instrument fo transfer am to anoda persin or guarantee payment
indorser,A person who signs a check or other negotiable instrument.,Person wey sign paper
induced,Succeeded in persuading or influencing (someone) to do something.,Bin ginger / make happen
Inducing a decision tree,The process of using training data to automatically generate a decision tree model that can make predictions or classify data,"De process wey dem dey use train data take 'learn' one good tree wey go fit make am predict or classify data, dem dey call am induce decision tree, but make we talk am for pidgin, na 'train data dey help machine learn' or 'machine dey learn from data', but if we wan use pidgin wey dey close to english, we go say 'dem dey use data train machine, make machine fit sabi predict or classify'"
inductance,an electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current,Di electrical phenomenon wey di electromotive force (EMF) dey generate for closed circuit by change for di flow of current
induction,reasoning from specific cases to general principles,to make wise guess
indulge in,to engage in,to do
industrial,of or relating to or resulting from industry,Dem dey relating to or result from industry
industrial,Relating to or characterized by industry.,Factory work / concern big business production
industrial plant,"a large facility or site where goods are manufactured or processed, often using machinery and equipment","wok place wey dem dey produce somtin wit machine, like factory"
industrial town,a manufacturing city,one town wey dey do factory
industrialisation,the development of industry on an extensive scale,Di development of industry on extensive scale
industrialise,organize (the production of something) into an industry,Di production of something) into industry
industrialists,someone who manages or has significant financial interest in an industrial enterprise,Di someone wey manage or get significant financial interest for industrial enterprise enterprise
industrialization,The development of large-scale industries and manufacturing in a society,Di process where a society shift from farming to manufacturing and large-scale industry
industrially,by industrial means,Di industrial means by industrial means by industrial means
industries,the people or companies engaged in a particular kind of commercial enterprise,Di pipo or companies engage for particular kind of commercial enterprise.
industries,Economic activities concerned with the processing of raw materials.,Different sectors of business and production
industry,Economic activity concerned with the processing of raw materials and manufacture of goods in factories.,Hustle / big-big business area
ineffective,not producing an intended effect,Di intended effect no produce di intended effect
inefficiencies,"a state of not working or doing something in a way that uses the least amount of time, money, or effort, resulting in a waste of resources","wetin no dey work well, wey dey waste time, money, or effort, make dem no dey use am well, na im dey cause problem"
inefficiencies,unskillfulness resulting from a lack of efficiency,Di unskillfulness result from lack of efficiency result from lack of efficiency result from lack of efficiency result from lack of efficiency result from lack of efficiency result from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency resulting from lack of efficiency result
inefficient,not producing desired results; wasteful,"Asteful, wey no dey produce desired results; wasteful"
inequalities,"statements that express an unequal relationship between two mathematical expressions, often using symbols such as <, >, â‰¤, or â‰¥","things wey show say two mathematical somethings no be equal, we dey use am with symbols like less than, greater than, less than or equal, or greater than or equal"
inequalities,lack of equality,"For lack of equality, lack of equality"
inequality,"a statement that one quantity is greater than, less than, or equal to another quantity, often expressed using symbols such as >, <, or =","inequality na when you dey talk about say one thing big pass another, or one thing small pass another, dem dey use sign like >, <, or = take show am"
inequality,"a statement that one quantity is greater than, less than, or equal to another quantity, often denoted by symbols such as <, >, â‰¤, or â‰¥","inequality na when you dey talk say one thing pass another, or one thing no reach another, dem dey use symbol like <, >, â‰¤, or â‰¥ take show am"
inequality,"a statement that one quantity is greater than, less than, or equal to another quantity, often used in mathematical expressions to compare values","inequality na when you dey compare two things, either one big pass another, or one small pass another, or dem equal, and for math, dem use am to show which one bigger or smaller"
inequality,"a statement that two expressions are not equal, often using symbols such as <, >, or â‰  to denote the relationship between the expressions","tori wey dey talk say two thing no be equal, dem dey use sign like less than, greater than, or not equal to show say dem no be de same"
inequality,"a statement that two quantities are not equal, especially in mathematics","inequality na when two things no equal, especially for maths"
inequality,"a statement that two expressions are not equal, often expressed using greater than, less than, or not equal to symbols","inequality na when you talk say two thing no be equal, dem dey use symbol like less than, greater than or not equal to explain am"
inequality,"a statement that one mathematical expression is greater than, less than, or equal to another",wan statement wey dey tok say one mathematis expresion big pass or small pass or equal to anoda
